bgm_id,game_title,current_title,confirmed_title,confidence,source,reason
"51","Super Mario 64","Dire, Dire Docks","ウォーターランド","confirmed_high","https://www.nintendo.com/jp/nintendo-music/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"52","Super Mario Galaxy","Gusty Garden Galaxy","ウィンドガーデン","confirmed_high","https://www.nintendo.co.jp/wii/interview/rmgj/vol3/index3.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"53","Super Mario Galaxy","Egg Planet","エッグプラネット","confirmed_high","https://www.nintendo.co.jp/wii/interview/rmgj/vol3/index3.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"215","Monster Hunter Tri","To One with Life","生命ある者へ","confirmed_high","https://www.capcom.co.jp/sound/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"220","Monster Hunter Generations Ultimate","Proof of a Hero - MHXX Version","英雄の証 ～MHXXver.","confirmed_high","https://www.capcom.co.jp/sound/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"225","Monster Hunter: World","Nay! The Honor is All Ours","否！栄冠は我に在り","confirmed_high","https://www.e-capcom.com/shop/g/gM00004982/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"229","The Legend of Zelda","Overworld Theme","地上BGM","confirmed_high","https://www.nintendo.com/jp/nintendo-music/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"239","The Legend of Zelda: Majora's Mask","Clock Town","クロックタウン","confirmed_high","https://www.nintendo.com/jp/nintendo-music/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"243","The Legend of Zelda: The Wind Waker","Great Sea","大海原","confirmed_high","https://www.nintendo.com/jp/nintendo-music/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"249","The Legend of Zelda: Skyward Sword","Ballad of the Goddess","女神の詩","confirmed_high","https://www.nintendo.com/jp/nintendo-music/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"252","The Legend of Zelda: Breath of the Wild","Hyrule Castle","ハイラル城","confirmed_high","https://www.nintendo.com/jp/nintendo-music/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"256","The Legend of Zelda: Tears of the Kingdom","Colgera Battle","フリザゲイラ戦","confirmed_high","https://www.nintendo.com/jp/nintendo-music/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"265","Final Fantasy VII Remake","Airbuster","エアバスター","confirmed_high","https://www.jp.square-enix.com/music/","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"321","Dark Souls","Ornstein & Smough","Ornstein & Smough","keep_english","https://www.fromsoftware.jp/jp/products.html","日本向け公式サウンドトラックでも英語表記『Ornstein & Smough』が正式曲名として用いられるため維持する。"
"336","Sekiro: Shadows Die Twice","Genichiro Ashina","葦名弦一郎","confirmed_high","https://www.fromsoftware.jp/jp/products.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"351","Fire Emblem Awakening","Don't Speak Her Name!","貴様らが…姉さんの言葉を語るな！","confirmed_high","https://www.intsys.co.jp/works/sound/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
"355","Fire Emblem Fates: Special Edition","Lost in Thoughts All Alone","if～ひとり思う～","confirmed_high","https://www.intsys.co.jp/works/sound/index.html","日本国内向けの公式サウンドトラック、メーカー公式情報または公式配信の日本語曲名と英語版曲名の作品内対応を再確認した。原曲・別アレンジ・別フェーズとの混同がない行のみ確定した。"
