bgm_id,game_title,current_title,proposed_title,confidence,source,reason
51,Super Mario 64,"Dire, Dire Docks",ウォーターランド,medium,公式サウンドトラック／メーカー情報の追加確認が必要,日本版サウンドトラックで知られる表記だが、今回の一次資料検索で原盤トラックリストを確定できなかった。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
52,Super Mario Galaxy,Gusty Garden Galaxy,ウィンドガーデン,medium,公式サウンドトラック／メーカー情報の追加確認が必要,日本版サウンドトラック表記の可能性が高いが、任天堂の公開一次資料で対応を確定できなかった。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
53,Super Mario Galaxy,Egg Planet,エッグプラネット,medium,公式サウンドトラック／メーカー情報の追加確認が必要,日本版サウンドトラック表記の可能性が高いが、任天堂の公開一次資料で対応を確定できなかった。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
215,Monster Hunter Tri,To One with Life,生命ある者へ,medium,公式サウンドトラック／メーカー情報の追加確認が必要,英題との対応は有力だが、同名曲が別作品にも登録されており、ゲーム紐付けを含めた確認が必要。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
220,Monster Hunter Generations Ultimate,Proof of a Hero - MHXX Version,英雄の証 ～MHXXver.,medium,公式サウンドトラック／メーカー情報の追加確認が必要,日本語表記は有力だが、版名・記号を公式原盤どおり確定できなかった。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
225,Monster Hunter: World,Nay! The Honor is All Ours,さあ、意のままに／悉くを殲ぼすネルギガンテ,medium,公式サウンドトラック／メーカー情報の追加確認が必要,英題との対応候補だが、収録版・モンスター名を公式トラックリストで再確認する必要がある。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
229,The Legend of Zelda,Overworld Theme,地上BGM,medium,公式サウンドトラック／メーカー情報の追加確認が必要,日本版で一般的な曲名だが、対象音源・収録版の一次資料確認が必要。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
239,The Legend of Zelda: Majora's Mask,Clock Town,クロックタウン,medium,公式サウンドトラック／メーカー情報の追加確認が必要,日本版曲名候補だが、対象が初日・二日目等の派生を含まないか確認が必要。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
243,The Legend of Zelda: The Wind Waker,Great Sea,大海原,medium,公式サウンドトラック／メーカー情報の追加確認が必要,日本版曲名候補だが、公式原盤トラックリストを今回確認できなかった。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
249,The Legend of Zelda: Skyward Sword,Ballad of the Goddess,女神の詩,medium,公式サウンドトラック／メーカー情報の追加確認が必要,日本語名は広く使われるが、検索で得た配信情報が第三者演奏版だったため高確度にしない。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
252,The Legend of Zelda: Breath of the Wild,Hyrule Castle,ハイラル城,medium,公式サウンドトラック／メーカー情報の追加確認が必要,日本版曲名候補だが、対象音源の公式トラックリスト確認が必要。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
256,The Legend of Zelda: Tears of the Kingdom,Colgera Battle,フリザゲイラ戦,medium,公式サウンドトラック／メーカー情報の追加確認が必要,英題との対応候補だが、公式日本版トラック表記を確認できなかった。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
265,Final Fantasy VII Remake,Airbuster,エアバスター,medium,公式サウンドトラック／メーカー情報の追加確認が必要,日本版OST候補だが、通常版・REMAKE版の厳密なトラック対応確認が必要。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
321,Dark Souls,Ornstein & Smough,竜狩りオーンスタインと処刑者スモウ,medium,公式サウンドトラック／メーカー情報の追加確認が必要,日本版OST候補だが、公式原盤表記の確認が必要。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
336,Sekiro: Shadows Die Twice,Genichiro Ashina,葦名弦一郎,medium,公式サウンドトラック／メーカー情報の追加確認が必要,日本版OST候補だが、公開された公式ページから個別トラック名まで確認できなかった。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
351,Fire Emblem Awakening,Don't Speak Her Name!,彼の者の名は,medium,公式サウンドトラック／メーカー情報の追加確認が必要,日本版表記候補だが、同名のBRAVELY DEFAULT曲との誤同定を避けるため原盤確認が必要。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
355,Fire Emblem Fates: Special Edition,Lost in Thoughts All Alone,if～ひとり思う～,medium,公式サウンドトラック／メーカー情報の追加確認が必要,日本版主題歌に対応する可能性が高いが、言語・歌唱が異なる別音源の可能性がある。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
360,Fire Emblem: Three Houses,God-Shattering Star,この世界の頂で,medium,公式サウンドトラック／メーカー情報の追加確認が必要,日本語名は公式派生サウンドトラックで確認できるが、原作収録音源との同一性を追加確認する必要がある。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
368,Monster Hunter Generations Ultimate,Silver-Winged Star / Valstrax,銀翼の凶星／バルファルク,medium,公式サウンドトラック／メーカー情報の追加確認が必要,日本版表記候補だが、対象がMHXX版であることを一次資料で再確認する必要がある。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
379,The Legend of Zelda,Dungeon Theme,地下BGM,medium,公式サウンドトラック／メーカー情報の追加確認が必要,英題との対応候補だが、ダンジョン種別・収録版の特定が必要。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
380,Xenoblade Chronicles 3,Keves Battle,ケヴェス戦闘,medium,公式サウンドトラック／メーカー情報の追加確認が必要,日本版OST表記候補だが、公式ページの検索結果で個別対応を確定できなかった。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
383,The Legend of Zelda: The Wind Waker,Molgera,モルド・ゲイラ,medium,公式サウンドトラック／メーカー情報の追加確認が必要,日本版曲名候補だが、公式原盤トラックリストを確認できなかった。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
385,The Legend of Zelda: Skyward Sword,Fi's Farewell,ファイとの別れ,medium,公式サウンドトラック／メーカー情報の追加確認が必要,日本版曲名候補だが、公式原盤トラックリストを確認できなかった。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
386,The Legend of Zelda: Breath of the Wild,Guardian Battle,ガーディアン戦,medium,公式サウンドトラック／メーカー情報の追加確認が必要,日本版曲名候補だが、通常戦・探索時等の版を確認する必要がある。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
387,Ōkami,Ryoshima Coast,両島原,medium,公式サウンドトラック／メーカー情報の追加確認が必要,日本版OST表記候補だが、配信元を含む一次資料確認が不足している。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
388,The Legend of Zelda: Tears of the Kingdom,Demon King Ganondorf Battle,魔王ガノンドロフ戦,medium,公式サウンドトラック／メーカー情報の追加確認が必要,日本版曲名候補だが、戦闘フェーズ別の曲を混同しないため確認が必要。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
405,Octopath Traveler,Decisive Battle II,決戦2,medium,公式サウンドトラック／メーカー情報の追加確認が必要,英題との対応候補だが、OCTOPATH TRAVELER初代の公式日英対照を今回確定できなかった。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
